protein_id,genes,time,fraction,intensity
P24369,Ppib,30min,1,1088791.9999999998
P24638,Acp2,30min,1,320640.99999999907
P24668,M6pr,30min,1,20159225.0
P25119,Tnfrsf1b,30min,1,526739.0000000005
P25444,Rps2,30min,1,8285729.000000007
P25911,Lyn,30min,1,636210.9999999995
P26011,Itgb7,30min,1,873159.0
P26151,Fcgr1,30min,1,440898.99999999907
P26952,Il3ra,30min,1,142983.99999999953
P26954,Csf2rb2,30min,1,841241.0
P26955,Csf2rb,30min,1,5008506.4
P27046,Man2a1,30min,1,465525.0
P27048,Snrpb,30min,1,385582.0
P27659,Rpl3,30min,1,1739837.0000000075
P27773,Pdia3,30min,1,406794.9999999998
P28078,H2-DMa,30min,1,3489712.0
P28656,Nap1l1,30min,1,787368.0
P28667,Marcksl1,30min,1,1549886.0
P28798,Grn,30min,1,2383249.999999999
P29341,Pabpc1,30min,1,369390.0
P29387,Gnb4,30min,1,213369.99999999977
P30204,Msr1,30min,1,2830810.9999999925
P30355,Alox5ap,30min,1,8553070.0
P30993,C5ar1,30min,1,729193.9999999981
P31725,S100a9,30min,1,1154460.0
P34022,Ranbp1,30min,1,930927.0
P35276,Rab3d,30min,1,453808.0
P35278,Rab5c,30min,1,6435602.000000004
P35279,Rab6a,30min,1,12107009.999999996
P35282,Rab21,30min,1,3391286.0
P35293,Rab18,30min,1,3612501.9999999963
P35456,Plaur,30min,1,661680.9999999998
P35550,Fbl,30min,1,207264.0
P35564,Canx,30min,1,10880875.0
P35700,Prdx1,30min,1,10004109.999999996
P35762,Cd81,30min,1,146807.99999999988
P35821,Ptpn1,30min,1,2932406.0
P35951,Ldlr,30min,1,372412.0
P35979,Rpl12,30min,1,3582480.0
P35980,Rpl18,30min,1,9962750.000000015
P36371,Tap2,30min,1,4462211.999999998
P36423,Tbxas1,30min,1,856641.0
P37040,Por,30min,1,27195010.0
P38647,Hspa9,30min,1,1359169.9999999963
P40142,Tkt,30min,1,735953.0
P41105,Rpl28,30min,1,4506149.5
P41216,Acsl1,30min,1,267689.00000000186
P42082,Cd86,30min,1,973357.0000000005
P42225,Stat1,30min,1,159933.0
P43276,H1-5,30min,1,1831419.9999999981
P43406,Itgav,30min,1,338524.0
P46460,Nsf,30min,1,10025200.000000007
P46638,Rab11b,30min,1,6384396.999999996
P46978,Stt3a,30min,1,4907480.0
P47738,Aldh2,30min,1,302525.0
P47740,Aldh3a2,30min,1,645471.0
P47754,Capza2,30min,1,4029229.9999999963
P47757,Capzb,30min,1,2703054.0
P47911,Rpl6,30min,1,9011169.999999985
P47915,Rpl29,30min,1,1891010.0000000037
P47962,Rpl5,30min,1,488874.0
P47963,Rpl13,30min,1,4307870.0
P47964,Rpl36,30min,1,1138560.0
P48410,Abcd1,30min,1,5938779.999999996
P48771,Cox7a2,30min,1,8236524.0
P48962,Slc25a4,30min,1,1022606.0
P49300,Clec10a,30min,1,5133270.0
P49586,Pcyt1a,30min,1,123678.0
P50516,Atp6v1a,30min,1,1198155.0
P50518,Atp6v1e1,30min,1,1800139.9999999998
P50543,S100a11,30min,1,2290490.0
P50580,Pa2g4,30min,1,2637090.9999999995
P51150,Rab7a,30min,1,59244610.0
P51410,Rpl9,30min,1,269779.00000000186
P51675,Ccr1,30min,1,512786.00000000093
P51829,Adcy7,30min,1,1124680.0000000002
P51881,Slc25a5,30min,1,692821.9999999851
P52332,Jak1,30min,1,146935.0
P53026,Rpl10a,30min,1,28523500.0
P53994,Rab2a,30min,1,3484269.9999999963
P54116,Stom,30min,1,7125030.0
P55096,Abcd3,30min,1,1072980.0
P55258,Rab8a,30min,1,4259879.999999998
P55302,Lrpap1,30min,1,582638.0
P55772,Entpd1,30min,1,271264.00000000047
P55937,Golga3,30min,1,3520299.9999999944
P56135,Atp5mf,30min,1,1967220.6499999948
P56379,Atp5mj,30min,1,843664.9999999995
P56391,Cox6b1,30min,1,2569429.9999999963
P56395,Cyb5a,30min,1,22134805.000000007
P56480,Atp5f1b,30min,1,24477921.5
P56528,Cd38,30min,1,1350710.0
P57716,Ncstn,30min,1,377948.0
P57780,Actn4,30min,1,238279.99999999994
P57787,Slc16a3,30min,1,120219.0
P58021,Tm9sf2,30min,1,18606850.0
P58404,Strn4,30min,1,85285.9
P58682,Tlr8,30min,1,384724.99999999994
P59481,Lman2l,30min,1,326606.0
P60060,Sec61g,30min,1,537701.0
P60710,Actb,30min,1,1032655999.9999999
