peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
0,A0A087WQ44,Srcap,10min,29,7493194.444444443,16,42168915.99999999,19.0,34.0,139.35804846789088,-0.3125,468324.6527777777,42168915.99999999
1,A0A0G2JDV3,Gbp6,10min,31,25271390.555555552,12,127163694.99999999,26.0,37.0,469.99603386819894,0.08333333333333333,2105949.2129629627,127163694.99999999
2,A0A0G2JG52,Crybg1,10min,24,11438655.555555554,17,70028093.55555555,14.0,30.0,212.73553317443734,-0.23529411764705882,672862.0915032679,70092658.99999999
3,A0A140LIF8,Irgm2,10min,7,10807154.444444444,15,92747331.1111111,1.0,15.0,200.99090768764017,0.13333333333333333,720476.9629629629,132470094.44444443
4,A0A140LIF8,Irgm2,10min,18,4459433.333333332,8,25463333.33333333,15.0,22.0,82.93631390638103,0.125,557429.1666666665,132470094.44444443
5,A0A1L1SSC7,Ttc13,10min,5,2485087.333333333,13,16567175.555555554,1.0,13.0,46.21752759964376,0.3076923076923077,191160.56410256407,17605301.555555556
6,A0A1L1SSC7,Ttc13,10min,33,255644.0,5,766931.9999999999,31.0,35.0,4.754454085859088,0.0,51128.8,17605301.555555556
7,A0A286YCV9,Kif13b,10min,9,4334487.777777777,12,29145683.777777776,1.0,12.0,80.61258283066229,-0.4166666666666667,361207.3148148148,458513428.0
8,A0A286YCV9,Kif13b,10min,23,28572208.888888888,14,211772861.99999994,13.0,26.0,531.384485040905,-0.5,2040872.0634920634,458513428.0
9,A0A286YCV9,Kif13b,10min,30,45709371.111111104,11,238029345.55555552,26.0,36.0,850.10055483904,0.18181818181818182,4155397.373737373,458513428.0
10,A0A286YCX6,Trappc8,10min,5,35833211.111111104,7,146090377.77777776,1.0,7.0,666.4242343910807,-0.2857142857142857,5119030.158730158,386271109.0000001
11,A0A286YCX6,Trappc8,10min,10,57326394.44444443,12,266175266.66666663,7.0,18.0,1066.153362855997,0.4166666666666667,4777199.537037036,386271109.0000001
12,A0A494B9V8,Ptar1,10min,32,1940219.8888888888,9,7465759.0,28.0,36.0,36.08411063116225,0.0,215579.98765432098,7465759.0
13,A0A494BB10,Asdurf,10min,10,6140719.999999999,11,34192392.222222224,3.0,13.0,114.20479766439506,-0.36363636363636365,558247.2727272726,153035227.2222222
14,A0A494BB10,Asdurf,10min,18,10649661.11111111,10,71949417.77777775,13.0,22.0,198.06185469925697,-0.1,1064966.111111111,153035227.2222222
15,A0A494BB10,Asdurf,10min,25,9816493.333333332,12,54549624.44444444,22.0,33.0,182.56664282156106,0.4166666666666667,818041.111111111,153035227.2222222
16,A1L314,Mpeg1,10min,4,224534127.77777773,13,1277349370.0,1.0,13.0,4175.874267449507,0.46153846153846156,17271855.98290598,1511438977.222222
17,A1L3P4,Slc9a6,10min,3,2402675.9555555554,9,7699309.377777778,1.0,9.0,44.68484499494022,0.4444444444444444,266963.9950617284,59039988.15555556
18,A1L3P4,Slc9a6,10min,38,12275009.999999998,8,50946777.777777776,33.0,40.0,228.29001051642578,-0.375,1534376.2499999998,59039988.15555556
19,A2A432,Cul4b,10min,13,2286332.222222222,13,16601469.33333333,6.0,18.0,42.5210901706112,-0.15384615384615385,175871.70940170938,98944483.99999997
20,A2A432,Cul4b,10min,24,15571938.888888888,12,82670309.33333331,18.0,29.0,289.6061259995376,-0.08333333333333333,1297661.574074074,98944483.99999997
21,A2A5R2,Arfgef2,10min,6,33343591.11111111,15,265264464.4444444,1.0,15.0,620.1224084877289,0.26666666666666666,2222906.0740740737,308711992.0
22,A2A5R2,Arfgef2,10min,20,4913093.333333332,13,36829628.666666664,17.0,29.0,91.37345947048905,0.46153846153846156,377930.2564102563,308711992.0
23,A2AAY5,Sh3pxd2b,10min,36,218412266.66666663,15,1147151889.9999998,26.0,40.0,4062.0202064397276,-0.4,14560817.777777774,1209784077.7777777
24,A2AB59,Arhgap27,10min,23,4802931.666666666,7,17341513.666666664,20.0,26.0,89.32467840702434,0.0,686133.0952380951,54818457.99999999
25,A2AB59,Arhgap27,10min,30,8936150.22222222,13,38485732.666666664,26.0,38.0,166.19406649831419,0.3076923076923077,687396.1709401708,54818457.99999999
26,A2ABV5,Med14,10min,6,10841974.444444442,12,59877481.111111104,1.0,12.0,201.63848827341417,0.08333333333333333,903497.8703703702,59877481.111111104
27,A2ADA5,Pusl1,10min,5,513879.3333333332,8,2752987.111111111,1.0,8.0,9.557101657012135,-0.125,64234.91666666665,46502811.66666666
28,A2ADA5,Pusl1,10min,31,7976858.888888888,17,41843987.22222221,21.0,37.0,148.3532151609236,-0.23529411764705882,469226.9934640522,46502811.66666666
29,A2ADY9,Ddi2,10min,28,181246366.66666663,20,1626034696.6666663,18.0,37.0,3370.8106919992156,-0.05,9062318.333333332,1875297888.8888886
30,A2AF47,Dock11,10min,7,25132426.666666664,16,233274237.11111104,1.0,16.0,467.4115905434401,0.1875,1570776.6666666665,240947385.99999994
31,A2AGH6,Med12,10min,5,9979918.888888888,14,63567609.99999999,1.0,14.0,185.60602297656138,0.35714285714285715,712851.3492063491,63690093.33333333
32,A2AGT5,Ckap5,10min,7,49571711.111111104,16,441993355.5555555,1.0,16.0,921.9321573565135,0.1875,3098231.944444444,595398839.9999999
33,A2AGT5,Ckap5,10min,34,22105794.44444444,10,86923649.99999999,29.0,38.0,411.12243869423884,-0.1,2210579.444444444,595398839.9999999
34,A2AIV2,Virma,10min,11,27209975.555555552,19,141590680.0,1.0,19.0,506.04973891911015,-0.10526315789473684,1432103.976608187,141590680.0
35,A2AIV8,Card9,10min,7,27522733.33333333,16,233646349.99999994,1.0,16.0,511.86639213389225,0.1875,1720170.833333333,248434953.6666667
36,A2AIV8,Card9,10min,31,1412546.6666666665,7,4237639.999999999,28.0,34.0,26.27047093145142,0.0,201792.38095238092,248434953.6666667
37,A2AJ15,Man1b1,10min,7,17470233.333333332,14,98699972.22222224,1.0,14.0,324.91050935120046,0.07142857142857142,1247873.8095238095,98699972.22222224
38,A2AJ72,Fubp3,10min,7,4649775.555555555,10,21253260.0,3.0,12.0,86.47628885653025,0.1,464977.5555555555,258817199.99999997
39,A2AJ72,Fubp3,10min,33,41640055.55555555,13,232110456.6666666,27.0,39.0,774.4196314856225,0.0,3203081.1965811965,258817199.99999997
40,A2AJ88,Pnpla7,10min,5,14990280.0,14,116641207.33333333,1.0,14.0,278.78846362195776,0.35714285714285715,1070734.2857142857,135476620.99999997
41,A2AJI0,Map7d1,10min,21,8338373.999999999,14,47718295.666666664,15.0,28.0,155.07665477664713,0.07142857142857142,595598.1428571428,47907703.99999999
42,A2AJQ3,Dpy19l4,10min,4,4718609.11111111,10,21751681.33333333,1.0,10.0,87.75645181539224,0.3,471860.911111111,21751681.33333333
43,A2AJW4,Ppp1r3d,10min,30,36029812.222222224,15,176745533.66666666,25.0,39.0,670.0806118378689,0.26666666666666666,2401987.481481482,183929451.99999997
44,A2ALW5,Dnajc25,10min,6,4479921.11111111,14,32801222.222222216,1.0,14.0,83.31734455355338,0.21428571428571427,319994.36507936503,32801222.222222216
45,A2AN08,Ubr4,10min,5,70874844.44444445,14,393332006.6666666,1.0,14.0,1318.12674560528,0.35714285714285715,5062488.888888889,394640016.6666666
46,A2APV2,Fmnl2,10min,5,30994641.111111104,14,234037922.44444445,1.0,14.0,576.4367560766466,0.35714285714285715,2213902.936507936,265901112.88888887
47,A2APV2,Fmnl2,10min,19,3865739.999999999,15,31758284.666666657,14.0,28.0,71.89483554422911,0.26666666666666666,257715.99999999994,265901112.88888887
48,A2APY7,Ndufaf5,10min,32,36048202.22222222,14,162628729.99999997,26.0,39.0,670.4226281208206,0.07142857142857142,2574871.5873015868,162628729.99999997
49,A2AQ19,Rtf1,10min,25,5958441.111111111,15,37925448.99999999,15.0,29.0,110.81478417671835,-0.4,397229.4074074074,156044932.0
50,A2AQ19,Rtf1,10min,34,26733030.0,11,120452785.55555554,29.0,39.0,497.1795297792773,0.0,2430275.4545454546,156044932.0
51,A2AR02,Ppig,10min,11,6727800.0,7,20183400.0,8.0,14.0,125.12328159019093,0.0,961114.2857142857,141926472.2222222
52,A2AR02,Ppig,10min,34,30859913.33333333,11,120851329.99999999,29.0,39.0,573.9310957304845,0.0,2805446.666666666,141926472.2222222
53,A2AT37,Upf2,10min,21,8559833.333333332,15,60125042.444444425,15.0,29.0,159.1953441736926,0.13333333333333333,570655.5555555555,71533531.0
54,A2AWA9,Rabgap1,10min,7,21505957.777777776,16,171129275.44444436,1.0,16.0,399.96670693178237,0.1875,1344122.361111111,184386404.11111104
55,A2BE28,Las1l,10min,10,12780835.555555554,19,113373824.44444446,1.0,19.0,237.69732842470077,0.0,672675.5555555555,115870120.00000003
56,A2BH40,Arid1a,10min,7,52391763.88888888,13,245025584.44444442,1.0,13.0,974.3793552240317,0.0,4030135.683760683,245025584.44444442
57,A2RSX7,Tyw5,10min,33,16922378.888888888,11,71813489.99999999,28.0,38.0,314.7215403089192,0.0,1538398.0808080807,71813489.99999999
58,A2RSY6,Trmt1l,10min,7,3389357.777777777,14,17301164.999999996,3.0,16.0,63.035103249025326,0.35714285714285715,242096.98412698408,18814944.999999993
59,A2RSY6,Trmt1l,10min,31,504593.33333333326,7,1513779.9999999998,28.0,34.0,9.384401102173033,0.0,72084.7619047619,18814944.999999993
60,A2RT67,Dennd3,10min,10,777320.7777777778,8,4413762.555555555,7.0,14.0,14.456572217336292,0.125,97165.09722222222,72560721.77777773
61,A2RT67,Dennd3,10min,20,10960743.333333332,16,65150118.22222221,14.0,29.0,203.8473460171935,0.1875,685046.4583333333,72560721.77777773
62,A2RTH5,Lcmt1,10min,37,121178588.88888888,8,416547971.11111104,33.0,40.0,2253.6732215949382,-0.125,15147323.61111111,416547971.11111104
63,A2RTL5,Rsrc2,10min,29,7302153.333333333,12,37894481.99999999,21.0,32.0,135.80507561779748,-0.4166666666666667,608512.7777777778,39361935.55555555
64,A3KGF7,Plcb2,10min,23,30748336.666666664,15,166391858.88888887,13.0,27.0,571.8559985691201,-0.4,2049889.111111111,831729591.7777778
65,A3KGF7,Plcb2,10min,32,123462366.66666666,14,665954150.0000001,27.0,40.0,2296.1468043379314,0.21428571428571427,8818740.476190476,831729591.7777778
66,A3KMP2,Ttc38,10min,35,36747011.111111104,10,140427899.99999997,30.0,39.0,683.4190402291134,-0.1,3674701.1111111105,140427899.99999997
67,A6H5Y3,Mtr,10min,28,19843961.11111111,12,78532555.33333333,23.0,34.0,369.0569776108614,0.08333333333333333,1653663.4259259256,80115148.0
68,A6H5Z3,Exoc6b,10min,6,13428233.333333332,15,83035026.22222221,1.0,15.0,249.73759930816234,0.26666666666666666,895215.5555555555,83536199.22222222
