protein_id,genes,time,fraction,intensity
A0A0B4J1G0,Fcgr4,30min,1,366474.0
A1L314,Mpeg1,30min,1,8491490.0
A6X919,Dpy19l1,30min,1,1177019.9999999998
A6ZI47,Aldoart2,30min,1,1590229.9999999998
A9XX86,Mgl2,30min,1,3985339.5
B7ZMP1,Xpnpep3,30min,1,53227.4
D3YZZ5,Tmed7,30min,1,16409685.0
D3Z286,Tmppe,30min,1,1147706.5
D3Z2H9,Tpm3-rs7,30min,1,18566619.999999996
D3Z2R5,Selenon,30min,1,201293.0
D3Z7P3,Gls,30min,1,340641.0
D4AFX7,Dnajc13,30min,1,592152.0
E2JF22,Piezo1,30min,1,188026.00000000047
E9PVZ8,Golgb1,30min,1,1190220.0
E9Q0F0,Krt78,30min,1,3348839.999999999
E9Q634,Myo1e,30min,1,5440630.0
E9Q7G0,Numa1,30min,1,576585.0
G5E829,Atp2b1,30min,1,4974470.000000004
O08528,Hk2,30min,1,336273.0
O08547,Sec22b,30min,1,14750250.0
O08553,Dpysl2,30min,1,1530888.0
O08585,Clta,30min,1,12728190.0
O08795,Prkcsh,30min,1,519114.9999999999
O08832,Galnt4,30min,1,938400.0
O08912,Galnt1,30min,1,9040200.0
O09005,Degs1,30min,1,5215769.999999999
O09044,Snap23,30min,1,591801.0
O09106,Hdac1,30min,1,475652.00000000047
O09117,Sypl1,30min,1,3966950.0
O09167,Rpl21,30min,1,12467880.0
O35114,Scarb2,30min,1,3404520.999999998
O35129,Phb2,30min,1,11853009.999999998
O35166,Gosr2,30min,1,1008780.0
O35326,Srsf5,30min,1,1058680.0
O35350,Capn1,30min,1,217353.0
O35405,Pld3,30min,1,724842.9999999998
O35465,Fkbp8,30min,1,579146.0
O35598,Adam10,30min,1,554586.0
O35604,Npc1,30min,1,21463280.0
O35609,Scamp3,30min,1,2101754.5
O54734,Ddost,30min,1,19294895.5
O54941,Smarce1,30min,1,367513.99999999907
O55022,Pgrmc1,30min,1,16289659.999999996
O55029,Copb2,30min,1,600664.0
O55106,Strn,30min,1,561576.9999999991
O55142,Rpl35a,30min,1,5037898.5
O55143,Atp2a2,30min,1,8561650.000000015
O70251,Eef1b,30min,1,526261.0000000009
O70252,Hmox2,30min,1,2443753.0000000037
O70309,Itgb5,30min,1,2310800.0
O70378,Emc8,30min,1,8753000.0
O70404,Vamp8,30min,1,9871709.333333325
O70439,Stx7,30min,1,15378029.999999998
O70480,Vamp4,30min,1,1390220.0000000005
O70496,Clcn7,30min,1,13853779.999999993
O70503,Hsd17b12,30min,1,19519336.999999996
O88188,Ly86,30min,1,386533.00000000047
O88342,Wdr1,30min,1,1128420.0
O88384,Vti1b,30min,1,2677572.0
O88455,Dhcr7,30min,1,7917309.999999996
O88531,Ppt1,30min,1,524469.0
O88783,F5,30min,1,2209610.0
O88983,Stx8,30min,1,1996990.0
O89086,Rbm3,30min,1,360205.99999999994
O89116,Vti1a,30min,1,619577.0000000001
P00405,Mtco2,30min,1,5962430.000000006
P01887,B2m,30min,1,63421999.999999985
P01897,H2-L,30min,1,6593591.0
P01901,H2-K1,30min,1,16558569.999999996
P01910,H2-Aa,30min,1,1070670.0
P03930,Mtatp8,30min,1,6779550.0
P04104,Krt1,30min,1,18238305.0
P04230,H2-Eb1,30min,1,5650540.000000002
P04441,Cd74,30min,1,5165320.0
P05064,Aldoa,30min,1,505602.9999999998
P05555,Itgam,30min,1,22788995.00000003
P06800,Ptprc,30min,1,4034730.0
P07091,S100a4,30min,1,18748064.999999993
P07724,Alb,30min,1,2834690.0
P07901,Hsp90aa1,30min,1,4890540.0
P08103,Hck,30min,1,201630.99999999953
P08113,Hsp90b1,30min,1,786852.9999999963
P08249,Mdh2,30min,1,2632110.0
P09055,Itgb1,30min,1,2916322.0000000037
P09405,Ncl,30min,1,1257709.9999999998
P09528,Fth1,30min,1,168425.0
