,protein_id,CCprofiler_count,SPADE_count
1021,P53986,1.0,1.0
1023,P53995,1.0,1.0
1024,P53996,1.0,1.0
1027,P54116,1.0,1.0
1033,P54728,1.0,1.0
1038,P54797,1.0,1.0
1045,P55096,1.0,1.0
1048,P55264,1.0,1.0
1050,P55772,1.0,1.0
1060,P56391,1.0,1.0
1066,P56542,1.0,1.0
1071,P56959,1.0,1.0
1077,P57759,1.0,1.0
1082,P58021,1.0,1.0
1084,P58058,1.3333333333333333,1.3333333333333333
1091,P58389,1.0,1.0
1099,P58801,1.0,1.0
1101,P58854,1.0,1.0
1105,P59108,1.0,1.0
1108,P59325,1.1666666666666667,1.1666666666666667
1109,P59326,1.0,1.0
1120,P59997,1.0,1.0
1127,P60670,1.0,1.0
1131,P60843,1.0,1.0
1138,P61079,1.0,1.0
1152,P61460,1.0,1.0
1153,P61514,1.0,1.0
1155,P61620,1.0,1.0
1161,P61961,2.0,2.0
1165,P61971,1.0,1.0
1168,P62046,1.0,1.0
1177,P62242,1.0,1.0
1179,P62259,1.0,1.0
1184,P62281,1.0,1.0
1190,P62313,1.0,1.0
1194,P62322,1.0,1.0
1199,P62482,1.5,1.5
1202,P62700,1.0,1.0
1203,P62702,1.6666666666666667,1.6666666666666667
1205,P62717,1.0,1.0
1208,P62748,1.0,1.0
1210,P62754,1.0,1.0
1211,P62774,1.0,1.0
1218,P62843,1.0,1.0
1219,P62849,1.0,1.0
1232,P62911,1.0,1.0
1236,P62962,1.0,1.0
1241,P63005,1.6666666666666667,1.6666666666666667
1252,P63158,1.0,1.0
1259,P63280,1.0,1.0
1279,P69566,1.0,1.0
1281,P70158,1.0,1.0
1283,P70188,1.5,1.5
1286,P70196,1.3333333333333333,1.3333333333333333
1287,P70202,1.0,1.0
1293,P70265,1.0,1.0
1300,P70296,1.0,1.0
1302,P70302,1.0,1.0
1305,P70318,1.0,1.0
1310,P70349,1.0,1.0
1317,P70387,1.0,1.0
1318,P70388,1.0,1.0
1326,P70441,1.0,1.0
1327,P70444,1.0,1.0
1333,P70697,1.0,1.0
1336,P70700,1.0,1.0
1337,P70704,1.0,1.0
1345,P82343,1.0,1.0
1364,P97310,1.3333333333333333,1.3333333333333333
1366,P97313,1.0,1.0
1367,P97333,1.0,1.0
1368,P97346,1.0,1.0
1370,P97352,1.0,1.0
1371,P97355,1.0,1.0
1373,P97364,1.0,1.0
1376,P97370,1.0,1.0
1387,P97425,1.0,1.0
1389,P97429,1.0,1.0
1390,P97434,1.0,1.0
1403,P97494,1.0,1.0
1410,P97797,2.0,2.0
1418,P97823,1.0,1.0
1422,P97865,1.0,1.0
1423,P97872,1.0,1.0
1424,P97930,1.0,1.0
1429,P98195,1.0,1.0
1432,P99026,1.0,1.0
1441,Q00609,1.0,1.0
1442,Q00612,1.0,1.0
1444,Q00899,1.0,1.0
1451,Q01514,1.0,1.0
1452,Q01705,1.0,1.0
1454,Q01768,1.0,1.0
1456,Q01965,1.0,1.0
1463,Q03173,2.0,2.0
1464,Q03249,1.0,1.0
1481,Q05910,1.0,1.0
1487,Q06138,1.0,1.0
1488,Q06180,2.0,2.0
1489,Q06185,1.0,1.0
1497,Q08024,1.0,1.0
1501,Q08642,1.0,1.0
1504,Q08890,1.0,1.0
1509,Q09PK2,1.0,1.0
1514,Q0P5W1,1.0,1.0
1517,Q0VBL3,1.0,1.0
1520,Q11136,1.0,1.0
1522,Q149F1,1.0,1.0
1527,Q14BV6,1.0,1.0
1530,Q14CH7,1.0,1.0
1531,Q18PI6,1.3333333333333333,1.3333333333333333
1536,Q2KN98,1.0,1.0
1543,Q31125,1.0,1.0
1544,Q32NY4,1.0,1.0
1547,Q3SXD3,1.0,1.0
1550,Q3TAP4,1.0,1.0
1551,Q3TAS6,1.0,1.0
1554,Q3TBT3,1.0,1.0
1558,Q3TC72,1.0,1.0
1564,Q3TCT4,1.0,1.0
1568,Q3TDQ1,1.0,1.0
1573,Q3TGF2,1.0,1.0
1575,Q3THE2,1.0,1.0
1583,Q3TIV5,1.0,1.0
