peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
0,A0A087WQ44,Srcap,30min,29,2315234.444444444,9,8695269.999999998,25.0,33.0,69.24486178272933,0.0,257248.27160493823,8695269.999999998
1,A0A0B4J1G0,Fcgr4,30min,8,16740256.666666664,10,89568880.0,6.0,15.0,500.67359781739026,0.5,1674025.6666666665,168550722.88888884
2,A0A0B4J1G0,Fcgr4,30min,19,2784052.222222222,9,16659848.333333332,15.0,23.0,83.26643195304456,0.0,309339.1358024691,168550722.88888884
3,A0A0B4J1G0,Fcgr4,30min,26,4047554.444444444,9,17202328.333333332,23.0,31.0,121.05570938448982,0.2222222222222222,449728.2716049382,168550722.88888884
4,A0A0G2JDV3,Gbp6,30min,32,15210965.0,14,73862000.00000001,25.0,38.0,454.9349943952114,-0.07142857142857142,1086497.5,73862000.00000001
5,A0A0G2JG52,Crybg1,30min,23,4490283.333333333,16,28322926.999999996,14.0,29.0,134.29700371297358,-0.1875,280642.7083333333,28322926.999999996
6,A0A140LIF8,Irgm2,30min,8,6527739.999999999,17,61009381.555555545,1.0,17.0,195.23398813378355,0.11764705882352941,383984.7058823529,77104562.44444442
7,A0A1L1SSC7,Ttc13,30min,4,1344870.222222222,10,7376451.111111112,1.0,10.0,40.222860746110015,0.3,134487.0222222222,7376451.111111112
8,A0A286YCV9,Kif13b,30min,7,2058089.111111111,6,10459157.11111111,5.0,10.0,61.5540669660458,0.16666666666666666,343014.85185185185,215279933.22222218
9,A0A286YCV9,Kif13b,30min,22,13953292.22222222,15,126778636.44444442,12.0,26.0,417.3200660780833,-0.4,930219.4814814813,215279933.22222218
10,A0A286YCV9,Kif13b,30min,29,12904168.888888888,11,82701311.66666667,26.0,36.0,385.9425093109824,0.36363636363636365,1173106.2626262626,215279933.22222218
