,protein_id,CCprofiler_count,SPADE_count,highest_count_group
157,E9Q6J5,1.0,2.75,SPADE
158,E9Q6P5,2.0,2.6666666666666665,SPADE
159,E9Q6R7,1.75,1.6666666666666667,CCprofiler
160,E9Q735,1.0,1.6666666666666667,SPADE
161,E9Q784,0.0,1.0,SPADE
163,E9Q7G0,2.6666666666666665,1.0,CCprofiler
164,E9Q7M2,1.0,1.8333333333333333,SPADE
166,E9Q8I9,0.0,1.2,SPADE
167,E9Q912,1.0,2.0,SPADE
168,E9QAE3,0.0,1.0,SPADE
169,E9QAM5,1.0,2.25,SPADE
170,E9QAP7,0.0,1.0,SPADE
171,E9QAT4,1.5,1.8333333333333333,SPADE
172,F6ZDS4,1.5,1.0,CCprofiler
174,F8VPK0,1.8,2.1666666666666665,SPADE
175,F8VPN4,2.8333333333333335,1.0,CCprofiler
177,F8VPQ2,1.0,3.0,SPADE
178,F8VPZ3,1.5,2.0,SPADE
180,F8VQ94,0.0,2.6666666666666665,SPADE
181,F8VQC1,1.2,1.1666666666666667,CCprofiler
183,G3X8X0,1.0,2.4,SPADE
184,G3X972,2.0,1.0,CCprofiler
185,G3X9B1,0.0,1.0,SPADE
189,G3X9Z4,0.0,1.0,SPADE
190,G5E829,1.6666666666666667,1.0,CCprofiler
191,G5E870,1.4,2.5,SPADE
193,G5E897,0.0,1.0,SPADE
194,G5E8V9,0.0,2.5,SPADE
195,G5E8Z3,1.0,0.0,CCprofiler
198,O08528,1.6,1.8333333333333333,SPADE
199,O08529,2.0,1.6666666666666667,CCprofiler
200,O08539,1.4,1.8333333333333333,SPADE
201,O08547,1.25,2.3333333333333335,SPADE
202,O08550,0.0,1.0,SPADE
203,O08553,3.0,1.1666666666666667,CCprofiler
204,O08579,0.0,2.0,SPADE
205,O08582,0.0,4.0,SPADE
206,O08583,0.0,2.0,SPADE
207,O08585,2.0,1.0,CCprofiler
210,O08600,1.0,1.3333333333333333,SPADE
212,O08648,1.0,1.6666666666666667,SPADE
214,O08664,1.0,1.8,SPADE
215,O08692,0.0,5.0,SPADE
216,O08709,2.0,1.0,CCprofiler
217,O08710,1.0,0.0,CCprofiler
218,O08734,0.0,1.0,SPADE
220,O08739,0.0,1.1666666666666667,SPADE
221,O08749,0.0,2.1666666666666665,SPADE
222,O08756,1.2,1.1666666666666667,CCprofiler
223,O08759,2.3333333333333335,1.3333333333333333,CCprofiler
224,O08784,0.0,1.75,SPADE
225,O08788,2.3333333333333335,1.5,CCprofiler
226,O08795,1.4,1.3333333333333333,CCprofiler
228,O08797,1.1666666666666667,1.0,CCprofiler
229,O08804,1.25,1.4,SPADE
230,O08807,1.0,2.5,SPADE
231,O08808,2.6666666666666665,1.1666666666666667,CCprofiler
232,O08810,3.3333333333333335,2.3333333333333335,CCprofiler
233,O08832,0.0,1.0,SPADE
234,O08848,0.0,1.0,SPADE
235,O08856,2.0,3.0,SPADE
236,O08908,1.0,2.0,SPADE
237,O08912,0.0,1.0,SPADE
239,O08983,1.0,1.1666666666666667,SPADE
240,O08992,1.25,1.5,SPADE
241,O09000,1.0,2.0,SPADE
243,O09012,1.0,1.5,SPADE
244,O09043,0.0,3.2,SPADE
245,O09044,0.0,2.8333333333333335,SPADE
246,O09046,1.0,2.3333333333333335,SPADE
247,O09047,0.0,1.3333333333333333,SPADE
249,O09106,1.0,2.0,SPADE
250,O09110,1.0,2.6,SPADE
252,O09126,1.0,2.3333333333333335,SPADE
254,O09159,2.1666666666666665,1.0,CCprofiler
256,O09172,0.0,2.0,SPADE
258,O35071,0.0,2.6,SPADE
