peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
0,A0A0B4J1G0,Fcgr4,10min,5,36677694.44444443,8,192208811.1111111,1.0,8.0,857.7913005378732,-0.125,4584711.805555554,339052704.1111109
1,A0A0B4J1G0,Fcgr4,10min,24,6499696.11111111,10,31623958.555555556,22.0,31.0,152.01017579488175,0.5,649969.611111111,339052704.1111109
2,A0A0G2JDV3,Gbp6,10min,31,17626317.222222216,17,89875246.99999997,21.0,37.0,412.2315157144041,-0.23529411764705882,1036842.1895424833,89875246.99999997
3,A0A0G2JG52,Crybg1,10min,10,766104.4444444443,7,2743504.2222222215,7.0,13.0,17.917094782040866,0.0,109443.49206349204,33988482.00000001
4,A0A0G2JG52,Crybg1,10min,21,4712130.0,16,31449657.555555552,13.0,28.0,110.20387683107964,-0.0625,294508.125,33988482.00000001
5,A0A140LIF8,Irgm2,10min,9,12476842.22222222,18,104113494.44444443,1.0,18.0,291.7993314060927,0.05555555555555555,693157.9012345677,107783431.11111112
6,A0A286YCV9,Kif13b,10min,5,19345794.44444444,14,159756252.94444442,1.0,14.0,452.4454011572134,0.35714285714285715,1381842.4603174601,329829128.99999994
7,A0A286YCV9,Kif13b,10min,22,15814002.777777776,14,126334251.72222221,14.0,27.0,369.8464206905525,-0.21428571428571427,1129571.6269841269,329829128.99999994
8,A0A286YCV9,Kif13b,10min,30,11148263.333333332,10,52592148.33333333,27.0,36.0,260.72749250702077,0.3,1114826.3333333333,329829128.99999994
9,A0A286YCX6,Trappc8,10min,5,44016455.55555555,8,230364335.55555552,1.0,8.0,1029.4249196404037,-0.125,5502056.944444444,347589408.8888889
10,A0A286YCX6,Trappc8,10min,10,32828920.0,9,145497554.88888887,8.0,16.0,767.7789569000361,0.4444444444444444,3647657.777777778,347589408.8888889
11,A0A2I3BR81,Nt5dc2,10min,23,2643722.222222222,12,17266911.11111111,15.0,26.0,61.8294567750393,-0.4166666666666667,220310.18518518517,87663630.0
12,A0A2I3BR81,Nt5dc2,10min,31,11295742.22222222,15,71708742.22222222,26.0,40.0,264.17662173441806,0.26666666666666666,753049.4814814813,87663630.0
13,A0A494BB10,Asdurf,10min,9,6620326.666666666,14,41297778.222222224,1.0,14.0,154.83139568620672,-0.21428571428571427,472880.47619047615,64907408.000000015
14,A0A494BB10,Asdurf,10min,17,2803443.111111111,8,13107029.555555554,14.0,21.0,65.56489301437516,0.125,350430.3888888889,64907408.000000015
