protein_id,genes,time,fraction,intensity
A1L314,Mpeg1,10min,1,1822232.0
A1L3P4,Slc9a6,10min,1,57199.99999999988
A2BDX3,Mocs3,10min,1,7588449.999999999
A9XX86,Mgl2,10min,1,1508279.000000015
D3YZZ5,Tmed7,10min,1,2123530.9999999925
D3Z286,Tmppe,10min,1,836252.9999999998
D3Z2H9,Tpm3-rs7,10min,1,12496268.0
E9Q2M9,Wdfy4,10min,1,98260.90000000224
E9Q634,Myo1e,10min,1,1851307.9999999981
E9Q7G0,Numa1,10min,1,385071.99999999255
F6ZDS4,Tpr,10min,1,130215.99999999627
G5E829,Atp2b1,10min,1,1671072.0
O08528,Hk2,10min,1,266481.0
O08547,Sec22b,10min,1,5518620.0
O08582,Gtpbp1,10min,1,160026.0
O08585,Clta,10min,1,13885540.00000003
O08749,Dld,10min,1,108722.0
O08756,Hsd17b10,10min,1,1180274.0
O08807,Prdx4,10min,1,146733.0
O08912,Galnt1,10min,1,4413771.0
O09005,Degs1,10min,1,2205515.5
O09043,Napsa,10min,1,86486.20000000019
O09044,Snap23,10min,1,2465155.999999999
O09061,Psmb1,10min,1,183281.0
O09110,Map2k3,10min,1,317152.00000000047
O09117,Sypl1,10min,1,2638369.999999999
O09159,Man2b1,10min,1,517487.0
O09167,Rpl21,10min,1,10904460.0
O35114,Scarb2,10min,1,385081.0000000037
O35129,Phb2,10min,1,4167599.999999999
O35166,Gosr2,10min,1,1045240.0
O35295,Purb,10min,1,335593.99999999994
O35604,Npc1,10min,1,13076250.499999993
O35609,Scamp3,10min,1,335458.0
O35678,Mgll,10min,1,600065.0
O35737,Hnrnph1,10min,1,2157566.0
O35963,Rab33b,10min,1,852900.0
O35972,Mrpl23,10min,1,77935.09999999963
O54734,Ddost,10min,1,16262313.0
O54962,Banf1,10min,1,276058.99999999994
O55022,Pgrmc1,10min,1,6375150.0
O55029,Copb2,10min,1,423060.0
O55106,Strn,10min,1,163356.0
O55142,Rpl35a,10min,1,11009854.999999998
O55143,Atp2a2,10min,1,4795129.999999993
O70133,Dhx9,10min,1,185964.0
O70145,Ncf2,10min,1,387435.0
O70194,Eif3d,10min,1,183018.0
O70251,Eef1b,10min,1,429487.0
O70252,Hmox2,10min,1,618319.9999999963
O70309,Itgb5,10min,1,238834.00000000373
O70378,Emc8,10min,1,2833320.000000001
O70404,Vamp8,10min,1,5569535.999999996
O70439,Stx7,10min,1,7340600.0
O70480,Vamp4,10min,1,359053.00000000047
O70496,Clcn7,10min,1,3361350.0
O70503,Hsd17b12,10min,1,10137179.999999996
O88342,Wdr1,10min,1,838653.0
O88384,Vti1b,10min,1,1344100.0
O88455,Dhcr7,10min,1,4618939.999999996
O88531,Ppt1,10min,1,251362.0
O88587,Comt,10min,1,118894.99999999814
