protein_id,genes,time,fraction,intensity
A1L314,Mpeg1,10min,1,3917100.0
A1L3P4,Slc9a6,10min,1,94652.6000000001
A9XX86,Mgl2,10min,1,4435405.0
B9EJ86,Osbpl8,10min,1,1513805.9999999995
D3YZZ5,Tmed7,10min,1,2948574.0
D3Z2H9,Tpm3-rs7,10min,1,6788463.0
D3Z2R5,Selenon,10min,1,184677.99999999977
E9PVZ8,Golgb1,10min,1,630909.9999999925
E9Q0F0,Krt78,10min,1,3403240.9999999995
E9Q634,Myo1e,10min,1,598220.5000000019
E9Q7G0,Numa1,10min,1,281642.0
G5E829,Atp2b1,10min,1,3825290.0
O08547,Sec22b,10min,1,7182300.0
O08585,Clta,10min,1,6385821.0
O08795,Prkcsh,10min,1,203731.00000000012
O08807,Prdx4,10min,1,158499.0
O08912,Galnt1,10min,1,5228289.999999993
O09005,Degs1,10min,1,1602366.0
O09117,Sypl1,10min,1,4853339.999999998
O09159,Man2b1,10min,1,289891.0
O09167,Rpl21,10min,1,907263.0
O09172,Gclm,10min,1,954963.0
O35114,Scarb2,10min,1,1942163.0000000037
O35129,Phb2,10min,1,5230032.999999998
O35465,Fkbp8,10min,1,337658.00000000093
O35604,Npc1,10min,1,10688940.0
O35609,Scamp3,10min,1,1073077.9999999981
O54734,Ddost,10min,1,11848650.0
O55013,Trappc3,10min,1,74236.8999999999
O55022,Pgrmc1,10min,1,8095231.999999996
O55029,Copb2,10min,1,157325.00000000186
O55143,Atp2a2,10min,1,3196069.9999999925
O70251,Eef1b,10min,1,312150.0
O70252,Hmox2,10min,1,1129298.0
O70378,Emc8,10min,1,1971590.0000000037
O70404,Vamp8,10min,1,7709240.0
O70439,Stx7,10min,1,9931443.999999996
O70496,Clcn7,10min,1,11308530.0
O70503,Hsd17b12,10min,1,11733848.500000007
O88342,Wdr1,10min,1,665243.0
O88384,Vti1b,10min,1,1725390.0
O88455,Dhcr7,10min,1,7651699.999999996
O88783,F5,10min,1,801297.0
O88855,Ltb4r,10min,1,354048.0
O88983,Stx8,10min,1,1585068.0
O89086,Rbm3,10min,1,484407.0
P00405,Mtco2,10min,1,1088240.0
P01887,B2m,10min,1,36253130.0
P01897,H2-L,10min,1,3797855.0
P01901,H2-K1,10min,1,5618140.0
P01910,H2-Aa,10min,1,1049130.0
P02535,Krt10,10min,1,53569659.99999999
P04230,H2-Eb1,10min,1,2328660.0
P04441,Cd74,10min,1,933329.0000000037
P05064,Aldoa,10min,1,1287630.0
P05555,Itgam,10min,1,17117537.0
P06800,Ptprc,10min,1,4401670.000000007
P07901,Hsp90aa1,10min,1,2028833.0000000037
P08249,Mdh2,10min,1,1414657.9999999998
P08556,Nras,10min,1,238017.0
P08752,Gnai2,10min,1,12325800.0
P09055,Itgb1,10min,1,2904705.9999999963
P09405,Ncl,10min,1,1060257.0
P09581,Csf1r,10min,1,633885.0
P0C0A3,Chmp6,10min,1,333607.0
P10126,Eef1a1,10min,1,4195849.5
P10833,Rras,10min,1,849038.0
P10852,Slc3a2,10min,1,2890225.0
P10853,H2bc7,10min,1,1376820.0
P11152,Lpl,10min,1,1218943.9999999981
P11438,Lamp1,10min,1,3917286.0
P11499,Hsp90ab1,10min,1,2839650.0
P11835,Itgb2,10min,1,61066700.0
P12787,Cox5a,10min,1,1196646.0
P12970,Rpl7a,10min,1,3326430.0
P13020,Gsn,10min,1,21753984.99999994
P13597,Icam1,10min,1,1286368.0000000037
P14115,Rpl27a,10min,1,1009340.0
P14131,Rps16,10min,1,770679.9999999925
P14211,Calr,10min,1,9336330.0
P14869,Rplp0,10min,1,975330.9999999963
P14901,Hmox1,10min,1,645865.0000000037
P15379,Cd44,10min,1,9961525.5
P15535,B4galt1,10min,1,729306.0
P15702,Spn,10min,1,118790.0
P15864,H1-2,10min,1,3215860.0
P16254,Srp14,10min,1,1063440.0
P16546,Sptan1,10min,1,576459.0
P16627,Hspa1l,10min,1,176736.0
P17047,Lamp2,10min,1,8111930.0
P17182,Eno1,10min,1,2409948.0
P17439,Gba1,10min,1,1817928.0
P17742,Ppia,10min,1,117216.0
P17809,Slc2a1,10min,1,2069319.9999999995
P18572,Bsg,10min,1,729824.0
P19253,Rpl13a,10min,1,1152600.0000000019
P19783,Cox4i1,10min,1,389572.0
P20029,Hspa5,10min,1,13931110.000000007
P20152,Vim,10min,1,6702640.0
P20491,Fcer1g,10min,1,19656669.999999985
