protein_id,genes,time,fraction,intensity
A0A0B4J1G0,Fcgr4,30min,1,1000729.9999999991
A1L314,Mpeg1,30min,1,12012290.000000007
A2BE28,Las1l,30min,1,314094.0
A2RT67,Dennd3,30min,1,43889.69999999995
A9XX86,Mgl2,30min,1,7711020.0
B1AVZ0,Uprt,30min,1,437275.99999999907
B1AZA5,Tmem245,30min,1,717477.0
B2RQC6,Cad,30min,1,228662.0
B9EJ86,Osbpl8,30min,1,1947895.999999999
D3YZZ5,Tmed7,30min,1,36437420.0
D3Z2H9,Tpm3-rs7,30min,1,8541846.999999998
D3Z2R5,Selenon,30min,1,778777.0
D4AFX7,Dnajc13,30min,1,1318430.0
E9PVZ8,Golgb1,30min,1,2795956.0
E9Q0F0,Krt78,30min,1,6272090.0
E9Q2M9,Wdfy4,30min,1,234888.0
E9Q555,Rnf213,30min,1,149775.0
E9Q634,Myo1e,30min,1,1700335.9999999981
E9Q7G0,Numa1,30min,1,980992.0
F6ZDS4,Tpr,30min,1,356256.0
F8VQ94,Pira2,30min,1,389684.99999999977
G5E829,Atp2b1,30min,1,12812659.999999996
O08528,Hk2,30min,1,564006.0
O08547,Sec22b,30min,1,15432755.0
O08582,Gtpbp1,30min,1,313678.99999999994
O08585,Clta,30min,1,10890300.0
O08600,Endog,30min,1,67898.8
O08788,Dctn1,30min,1,697314.0
O08795,Prkcsh,30min,1,681920.0
O08832,Galnt4,30min,1,770438.9999999998
O08912,Galnt1,30min,1,15200039.999999996
O09005,Degs1,30min,1,12405944.0
O09044,Snap23,30min,1,2046033.0
O09106,Hdac1,30min,1,1282130.0
O09117,Sypl1,30min,1,7300372.999999999
O09159,Man2b1,30min,1,678102.9999999998
O09167,Rpl21,30min,1,37763415.0
O35114,Scarb2,30min,1,12712540.000000007
O35129,Phb2,30min,1,11300769.999999998
O35143,Atp5if1,30min,1,461421.99999999977
O35166,Gosr2,30min,1,1163779.9999999998
O35226,Psmd4,30min,1,484517.0
O35286,Dhx15,30min,1,404425.0
O35295,Purb,30min,1,483501.9999999999
O35326,Srsf5,30min,1,2795060.0
O35350,Capn1,30min,1,434167.9999999986
O35405,Pld3,30min,1,1077799.9999999995
O35516,Notch2,30min,1,287799.0
O35593,Psmd14,30min,1,368623.99999999814
O35604,Npc1,30min,1,97207845.0
O35609,Scamp3,30min,1,2791542.0
O35639,Anxa3,30min,1,340530.0
O35737,Hnrnph1,30min,1,1649869.9999999981
O35954,Pitpnm1,30min,1,225104.0
O35963,Rab33b,30min,1,13791029.999999998
O35972,Mrpl23,30min,1,211696.0
O54734,Ddost,30min,1,54820179.999999985
O54941,Smarce1,30min,1,647256.0
O54962,Banf1,30min,1,233004.0
O55013,Trappc3,30min,1,757878.9999999981
O55022,Pgrmc1,30min,1,18653609.5
O55029,Copb2,30min,1,696136.0
O55106,Strn,30min,1,620295.0
O55142,Rpl35a,30min,1,25448235.0
O55143,Atp2a2,30min,1,13680790.0
O70133,Dhx9,30min,1,704450.0000000009
O70152,Dpm1,30min,1,133913.0
O70251,Eef1b,30min,1,1455999.9999999995
O70252,Hmox2,30min,1,3482653.5
O70309,Itgb5,30min,1,1070249.9999999888
O70325,Gpx4,30min,1,957808.9999999991
O70378,Emc8,30min,1,8131579.499999999
O70404,Vamp8,30min,1,17929165.0
O70439,Stx7,30min,1,26267915.0
O70480,Vamp4,30min,1,1873820.0000000005
O70496,Clcn7,30min,1,20763049.999999996
O70503,Hsd17b12,30min,1,29522459.999999996
O88291,Znf326,30min,1,419006.0
O88351,Ikbkb,30min,1,235858.99999999907
O88384,Vti1b,30min,1,7490850.0
O88455,Dhcr7,30min,1,13035159.999999996
O88456,Capns1,30min,1,476951.00000000093
O88531,Ppt1,30min,1,439066.0
O88569,Hnrnpa2b1,30min,1,1339520.0
O88587,Comt,30min,1,1241420.0
O88783,F5,30min,1,2411159.999999999
O88844,Idh1,30min,1,1142570.000000001
O88855,Ltb4r,30min,1,1881350.9999999995
O88967,Yme1l1,30min,1,1518613.000000001
O88983,Stx8,30min,1,5335440.0
O89001,Cpd,30min,1,353124.99999999953
O89053,Coro1a,30min,1,1382165.0
O89086,Rbm3,30min,1,1343463.9999999998
O89103,Cd93,30min,1,301563.0
O89116,Vti1a,30min,1,453807.9999999999
P00405,Mtco2,30min,1,6311980.0
P01887,B2m,30min,1,15900699.999999996
P01897,H2-L,30min,1,18129617.0
P01901,H2-K1,30min,1,24305114.999999993
P01910,H2-Aa,30min,1,2338319.9999999995
P01921,H2-Ab1,30min,1,28662299.999999996
P02535,Krt10,30min,1,20039295.0
P04104,Krt1,30min,1,7271584.999999999
P04230,H2-Eb1,30min,1,10049720.000000004
P04441,Cd74,30min,1,13946968.5
P05064,Aldoa,30min,1,2914614.9999999995
P05555,Itgam,30min,1,65596200.0
P07901,Hsp90aa1,30min,1,2715060.5500000045
P08003,Pdia4,30min,1,632526.9999999999
